SampleID	pH_Soil	pH_Buffer	Soluble_Salts	Lime	Texture	OM	Nitrate	lbs	Phosphorus	Potassium	Sulfate	Zinc	Iron	Manganese	Copper	Calcium	Magnesium	Sodium	CEC	H_Sat	K_Sat	Ca_Sat	Mg_Sat	Na_Sat
V01	7.1	7.2	0.11	NONE	2	3.1	4.5	8	4.9	91	6.9	1.49	32.6	11.1	1.23	1397	503	40	11.6	0	2	60	36	1
V02	7.4	7.2	0.11	NONE	2	3.5	2.5	5	6.2	98	6	1.09	26.3	10.1	1.07	1302	649	35	12.3	0	2	53	44	1
V03	7.1	7.2	0.12	NONE	2	3.1	3.6	7	6.8	82	7.4	0.86	32.9	10.9	1.18	1262	570	30	11.4	0	2	55	42	1
V04	7.1	7.2	0.11	NONE	2	3.2	4.5	8	5.9	110	7	0.85	39.4	11.9	1.2	1207	564	34	11.2	0	3	54	42	1
V05	7.1	7.2	0.09	NONE	2	3.2	4.4	8	6.9	84	6.8	0.95	42.3	12.2	1.29	1255	638	37	12	0	2	52	44	1
V06	7.1	7.2	0.1	NONE	2	3.6	4	7	8.4	97	6.7	1.14	42	12.8	1.25	1330	566	39	11.8	0	2	56	40	1
V07	7	7.2	0.09	NONE	2	3.4	3.9	7	7.5	80	5.7	1.39	45.4	13.7	1.42	1194	480	36	10.3	0	2	57	39	2
V08	7	7.2	0.11	NONE	2	3.8	1.8	3	6.5	116	6.9	1.72	42	13.5	1.5	1402	606	38	12.5	0	2	56	40	1
V09	7	7.2	0.12	NONE	2	3.5	3.5	6	6.5	121	5.8	1.54	44.1	14.1	1.75	1444	617	37	12.8	0	2	56	40	1
V10	7	7.2	0.09	NONE	2	3.4	5.4	10	6	115	6.2	1.35	43.7	13	1.35	1207	563	30	11.1	0	3	54	42	1
V11	7.1	7.2	0.08	NONE	2	3.7	0.8	2	6.2	98	5.2	1.97	45.3	13.7	1.44	1446	585	41	12.5	0	2	58	39	1
V12	7.1	7.2	0.08	NONE	2	2.9	0.6	1	7.8	79	6.8	1.38	41.8	12.9	1.45	1326	534	35	11.4	0	2	58	39	1
V13	7.1	7.2	0.09	NONE	2	3.2	2.1	4	6.3	76	5.2	0.94	31.3	10.9	1.18	1194	518	30	10.6	0	2	56	41	1
V14	7	7.2	0.1	NONE	2	3.4	2.7	5	7.1	74	5	1.13	43.1	13.1	1.31	1139	466	32	9.9	0	2	57	39	1
V15	7	7.2	0.15	NONE	2	4.1	1	2	6.1	108	7	1.09	45.3	13.2	1.36	1365	657	39	12.7	0	2	54	43	1
V16	7.1	7.2	0.07	NONE	2	3.1	2.4	4	5.7	75	5.8	0.93	40	11.1	1.17	1238	606	33	11.6	0	2	53	44	1
V17	7.1	7.2	0.09	NONE	2	3.4	2.5	4	35.2	97	8.7	1.01	39.8	12.2	1.34	1245	627	33	11.8	0	2	53	44	1
V18	7	7.2	0.07	NONE	2	3.3	2	4	6.4	83	7.4	1.24	41.3	12.9	1.25	1163	454	35	10	0	2	58	38	2
V19	7.1	7.2	0.06	NONE	2	3.3	0.4	1	5.9	108	6.7	1.11	35	11.2	1.07	1202	521	39	10.8	0	3	55	40	2
V20	7.1	7.2	0.07	NONE	2	3.7	0.2	0	9.1	129	5.4	1.32	34.3	11	1.22	1396	598	34	12.4	0	3	56	40	1
V21	7	7.2	0.1	NONE	2	3.9	4.4	8	8.5	106	5.9	1.41	34.7	11.8	1.35	1355	579	36	12	0	2	56	40	1
V22	7.1	7.2	0.09	NONE	2	3.6	0.6	1	5.8	86	5.1	1.42	38.7	11.1	1.42	1363	558	34	11.8	0	2	58	39	1
