Date	Event	Amount_100	Amount_50	Rainfall_inches
10/3/19	Watering	7.5	3.25	NA
10/17/19	Watering	17.3	8.6	NA
11/3/19	Watering	47.56	23.78	NA
11/14/19	Watering	21.62	10.81	NA
1/2/20	Watering	80	0	NA
1/10/20	Watering	34.5	0	NA
1/23/20	Watering	30.6	0	NA
2/4/20	Watering	34.59	21.62	NA
2/25/20	Watering	20	10	NA
11/3/19	Precipitation	NA	NA	0.02
11/27/19	Precipitation	NA	NA	1
12/2/19	Precipitation	NA	NA	2.89
12/9/19	Precipitation	NA	NA	2.74
12/23/19	Precipitation	NA	NA	1.06
1/2/20	Precipitation	NA	NA	0.71
1/10/20	Precipitation	NA	NA	0.15
1/14/20	Precipitation	NA	NA	0.58
1/23/20	Precipitation	NA	NA	1.5
1/28/20	Precipitation	NA	NA	0.92
3/16/20	Precipitation	NA	NA	0.49
4/7/20	Precipitation	NA	NA	1.43
5/5/20	Precipitation	NA	NA	0.01
6/2/20	Precipitation	NA	NA	1.77
