vOTU_ID	alternative_ID	degrees_of_freedom	r	p.value	p.adj
V35_VIR_S449_L004_23157	vOTU  E	350	-0.653137924386953	3.50333586682678e-44	4.41420319220174e-42
V35_VIR_S449_L004_10162	vOTU  B	293	-0.511630396683068	4.42158521265234e-21	5.52698151581543e-19
V34_VIR_S441_L004_86449	vOTU  C	370	-0.441329515930791	3.65678284095084e-19	4.53441072277904e-17
V18_VIR_S478_L004_60094	vOTU  D	116	-0.679422022864873	2.72814162161359e-17	3.35561419458471e-15
V17_VIR_S462_L004_101191	vOTU  A	287	-0.436813528703909	6.78765613412743e-15	8.28094048363546e-13
V38_VIR_S457_L004_35080	NA	419	-0.359539071019441	2.71583986082537e-14	3.2861662315987e-12
V30_VIR_S468_L004_2448	NA	368	-0.36783051668993	2.68645479495441e-13	3.22374575394529e-11
V36_VIR_S453_L004_11627	NA	282	-0.405661399472305	1.12405435358883e-12	1.33762468077071e-10
V21_VIR_S477_L004_23265	NA	238	-0.4260149064911	5.31979948987358e-12	6.27736339805082e-10
V21_VIR_S477_L004_44604	NA	280	-0.395141120848371	5.6411602817262e-12	6.60015752961965e-10
V24_VIR_S461_L004_23188	NA	254	-0.406230583423689	1.36385522729431e-11	1.5820720636614e-09
V43_VIR_S474_L004_483	NA	306	-0.34674800723149	3.95461816245152e-10	4.54781088681925e-08
V15_VIR_S452_L004_89012	NA	170	-0.40710468669787	2.9877616983056e-08	3.40604833606838e-06
V02_VIR_S451_L004_67832	NA	274	-0.323166348109304	3.96153712441375e-08	4.47653695058754e-06
V43_VIR_S474_L004_92062	NA	337	-0.290226169974222	5.2846537001698e-08	5.91881214419018e-06
V01_VIR_S446_L004_70401	NA	210	-0.35450697822061	1.13001973490292e-07	1.25432190574225e-05
V35_VIR_S449_L004_80702	NA	295	-0.299251580428321	1.46898592037916e-07	1.61588451241707e-05
V04_VIR_S455_L004_78422	NA	408	-0.255855009756696	1.50022836487864e-07	1.63524891771772e-05
V03_VIR_S447_L004_13294	NA	212	-0.328012863072949	9.2600242107271e-07	0.000100008261475853
V04_VIR_S455_L004_71169	NA	340	-0.257129638559512	1.44267085477475e-06	0.000154365781460898
V39_VIR_S450_L004_21459	NA	260	-0.262089494701722	1.7284311346455e-05	0.00183213700272423
V18_VIR_S478_L004_11025	NA	242	-0.261263327935667	3.59460497561874e-05	0.00377433522439967
V28_VIR_S460_L004_63708	NA	296	-0.231584939658792	5.43759297159842e-05	0.00565509669046235
V16_VIR_S471_L004_41313	NA	243	-0.254547017134236	5.565718861341e-05	0.00573269042718123
V05_VIR_S469_L004_16341	NA	335	-0.215005475226057	6.92225936615053e-05	0.00706070455347354
V26_VIR_S440_L004_96825_fragment_2	NA	346	-0.200364136209781	0.000168209916536515	0.0169892015701881
V09_VIR_S458_L004_123193	NA	363	-0.183313384990876	0.000431451807361748	0.0431451807361748
